2026-05-03 11:44:09,29.2,88.1,92.2,88.4,RAM ALERT (88.1%); Disk C: ALERT (92.2%)
2026-05-03 11:44:11,20.2,89.1,92.2,88.4,OK
2026-05-03 11:44:12,17.8,89.1,92.2,88.4,OK
2026-05-03 11:44:14,21.9,89.0,92.2,88.4,OK
2026-05-03 11:44:15,20.8,89.1,92.2,88.4,OK
2026-05-03 11:44:17,69.3,89.0,92.2,88.4,OK
2026-05-03 11:44:18,18.1,89.1,92.2,88.4,OK
2026-05-03 11:44:19,28.7,89.0,92.2,88.4,OK
2026-05-03 11:44:21,26.7,89.0,92.2,88.4,OK
2026-05-03 11:44:22,22.5,89.0,92.2,88.4,OK
2026-05-03 11:44:24,29.0,89.0,92.2,88.4,OK
2026-05-03 11:44:25,23.8,89.0,92.2,88.4,OK
2026-05-03 11:44:27,22.8,88.9,92.2,88.4,OK
2026-05-03 11:44:28,26.0,88.9,92.2,88.4,OK
2026-05-03 11:44:29,76.0,89.2,92.2,88.4,OK
2026-05-03 11:44:31,35.3,89.4,92.2,88.4,OK
2026-05-03 11:44:32,16.8,89.5,92.2,88.4,OK
2026-05-03 11:44:34,27.4,89.3,92.2,88.4,OK
2026-05-03 11:44:35,43.4,89.5,92.2,88.4,OK
2026-05-03 11:44:37,39.8,89.6,92.2,88.4,OK
